Bath,Bed,Price,Property,Sqft
1,2,"$1,250,000",Co-op,
2.5,3,"$6,600,000",Co-op,
2,2,"$2,499,995",Co-op,"1,300"
4.5,4,"$6,795,000",Condos,
1,1,"$795,000",Condos,587
1,0,"$850,000",Condos,
2,1,"$990,000",Condos,800
2,2,"$1,792,000",Co-op,"1,400"
1,1,"$780,000",Condos,609
1,0,"$725,000",Condos,460
,,"$2,650,000",Condos,
1.5,2,"$6,995,000",Condos,"3,040"
5.5,4,"$11,995,000",Condos,"3,006"
3.5,3,"$2,699,000",Co-op,"2,000"
4,4,"$9,975,000",Condos,"3,164"
4.5,4,"$14,250,000",Condos,"3,711"
3.5,3,"$9,550,000",Co-op,
2,2,"$1,850,000",Co-op,"1,600"
2,2,"$1,850,000",Condos,"1,052"
1.5,1,"$848,000",Condos,861
2,2,"$2,195,000",Condos,"1,325"
3,2,"$2,345,000",Co-op,
1,0,"$795,000",Condos,669
2.5,3,"$2,650,000",Condos,"1,679"
3.5,,"$5,350,000",Condo,"4,600"
2.5,3,"$9,750,000",Condos,"2,844"
2,3,"$896,000",Co-op,
3,3,"$2,000,000",Co-op,
1.5,2,"$1,995,000",Co-op,
1,2,"$399,000",Co-op,
2,2,"$2,750,000",Co-op,
2,2,"$1,349,000",Co-op,"1,374"
3,2,"$2,495,000",Co-op,
2.5,2,"$1,599,000",Co-op,
1,2,"$1,150,000",Co-op,
3.5,4,"$15,500,000",Condos,"3,576"
2,3,"$1,395,000",Condos,942
2,0,"$2,850,000",Condos,"1,900"
1,2,"$1,175,000",Condos,766
1,1,"$719,000",Condos,
2,2,"$1,649,000",Co-op,
2,2,"$1,500,000",Condos,935
1,1,"$1,040,000",Condos,650
2,1,"$799,000",Condos,795
1.5,1,"$2,180,000",Condos,"1,290"
2.5,2,"$2,760,000",Co-op,"1,406"
2,1,"$830,000",Condos,795
1,1,"$1,950,000",Condos,"1,015"
1,1,"$1,200,000",Condos,851
2.5,2,"$2,625,000",Co-op,"1,400"
1,1,"$1,190,000",Condos,667
2,2,"$3,400,000",Condos,"2,175"
2,2,"$2,695,000",Condos,"1,226"
2.5,2,"$2,575,000",Co-op,"1,406"
2,2,"$2,885,000",Condos,"1,279"
2.5,2,"$2,415,000",Co-op,"1,406"
2.5,2,"$2,500,000",Condos,"1,376"
2,2,"$2,200,000",Condos,"1,273"
3,3,"$3,300,000",Condos,"2,176"
1,1,"$901,000",Condos,818
1,0,"$489,000",Condos,465
1,1,"$659,000",Condos,629
5.5,5,"$7,485,000",Townhouse,"4,152"
4,4,"$4,888,000",Co-op,"3,000"
3,2,"$2,150,000",Condos,"1,417"
1,1,"$779,000",Condos,672
1,0,"$689,000",Condos,597
4,6,"$1,795,000",Multi-Family Home,"3,626"
1,0,"$585,000",Condos,443
1,1,"$900,000",Condos,522
1,0,"$435,000",Co-op,
1,1,"$499,000",Co-op,
1,0,"$625,000",Co-op,
1,1,"$710,000",Co-op,
1,1,"$675,000",Co-op,
2,2,"$1,345,000",Co-op,
2.5,3,"$2,795,000",Condos,
1,0,"$559,000",Condos,360
1,1,"$599,000",Co-op,750
4.5,5,"$6,995,000",Co-op,
2,2,"$1,600,000",Condos,"1,050"
1,1,"$465,000",Co-op,600
2,2,"$1,998,000",Condos,"1,434"
2,2,"$3,295,000",Condos,"1,605"
2,2,"$3,495,000",Condos,"1,628"
2,2,"$1,699,500",Condos,"1,312"
5,4,"$6,485,000",Condos,"3,075"
1.5,1,"$1,325,000",Condos,900
1,2,"$1,290,000",Condos,841
1,1,"$855,000",Condos,761
3.5,3,"$3,050,000",Condos,"1,773"
1,1,"$1,350,000",Co-op,"1,200"
1,1,"$735,000",Condos,670
2,3,"$1,559,000",Co-op,
1,1,"$675,000",Condos,623
1,1,"$700,000",Condos,623
2,2,"$1,625,000",Co-op,"1,350"
1,1,"$695,000",Co-op,825
1,0,"$650,000",Condos,536
1,1,"$598,000",Co-op,800
2,2,"$1,795,000",Co-op,
2.5,4,"$4,500,000",Condos,"1,809"
2,2,"$2,695,000",Condos,"1,038"
4,5,"$8,250,000",Townhomes,"5,200"
1,1,"$2,695,000",Condos,906
2,2,"$5,650,000",Co-op,"2,000"
1,1,"$1,399,000",Condos,828
2,1,"$1,825,000",Condos,904
2,4,"$3,750,000",Co-op,
2.5,2,"$2,845,000",Condos,"1,690"
2,2,"$2,980,000",Condos,"1,266"
5.5,5,"$7,500,000",Condos,"3,703"
3.5,4,"$3,500,000",Co-op,"2,200"
2,1,"$1,575,000",Condos,
1,1,"$700,000",Co-op,
1,1,"$565,000",Co-op,
2,2,"$995,000",Co-op,
7.5,5,"$9,990,000",Condos,
1,0,"$547,000",Co-op,525
1,1,"$495,000",Co-op,
2,1,"$900,000",Co-op,
1,1,"$385,000",Co-op,
,1,"$549,000",Condos,
1,1,"$575,000",Co-op,550
1,1,"$450,000",Co-op,
1,2,"$599,000",Co-op,
1,2,"$875,000",Co-op,
1,1,"$1,100,000",Co-op,
2,2,"$1,380,000",Co-op,
2.5,2,"$2,975,000",Condos,"1,750"
,0,"$32,500,000",Townhomes,"43,546"
1,0,"$185,000",Co-op,300
2,2,"$895,000",Co-op,"1,500"
